REGIAO:;SE
UF:;RJ
ESTACAO:;MACAE
CODIGO (WMO):;A608
LATITUDE:;-22,3761111
LONGITUDE:;-41,81194444
ALTITUDE:;28
DATA DE FUNDACAO:;22/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1011;1011,3;1011;;23,6;21,9;23,7;23,3;22,1;21,7;91;90;90;40;1,7;1,1;
2025/01/01;0100 UTC;0;1011,6;1011,7;1011;;23,7;21,8;23,8;23,5;22;21,7;91;89;89;354;2,5;,8;
2025/01/01;0200 UTC;0;1011,6;1011,7;1011,4;;22,9;21,7;23,7;22,9;21,9;21,6;93;89;93;352;1,4;,5;
2025/01/01;0300 UTC;0;1010,7;1011,6;1010,6;;23,2;21,8;23,5;22,9;22,1;21,6;93;91;92;36;2,1;1,2;
2025/01/01;0400 UTC;0;1010;1010,7;1010;;23,4;22;23,6;23,2;22,2;21,8;92;91;92;32;2,9;1,3;
2025/01/01;0500 UTC;0;1009,9;1010,1;1009,7;;23;21,9;23,4;23;22,1;21,7;93;92;93;74;1,8;1;
2025/01/01;0600 UTC;0;1009,5;1009,9;1009,4;;23,5;21,9;23,6;22,9;22,1;21,7;93;91;91;40;3,1;1,7;
2025/01/01;0700 UTC;0;1009,1;1009,6;1009,1;;23,3;22,2;23,6;23,1;22,2;21,7;93;91;93;67;3,5;1,7;
2025/01/01;0800 UTC;0;1009,3;1009,4;1009,1;;23,5;22,3;23,6;23,1;22,4;21,9;93;93;93;50;4,4;2,6;
2025/01/01;0900 UTC;0;1009,7;1009,8;1009;106,2;23,8;22,5;23,8;23,5;22,5;22,3;93;92;92;40;4,8;1,5;
2025/01/01;1000 UTC;0;1010;1010;1009,5;560,3;24,9;22,6;24,9;23,8;22,8;22,4;92;87;87;50;5,2;3,5;
2025/01/01;1100 UTC;0;1010,5;1010,5;1010;1267,1;26,5;22,5;27;24,9;23,5;22,2;87;78;79;52;5,2;2,9;
2025/01/01;1200 UTC;0;1011,2;1011,3;1010,5;1610,9;27,4;23,6;27,4;26,2;23,9;22,2;82;77;80;101;5,4;2,2;
2025/01/01;1300 UTC;0;1011,1;1011,2;1010,9;2466,1;27;23,2;28,3;26,6;24;22,6;82;74;80;92;6,4;2,4;
2025/01/01;1400 UTC;0;1010,7;1011,1;1010,7;2250,5;28;24,2;28;26,6;24,3;22,9;82;77;80;85;5,9;3;
2025/01/01;1500 UTC;0;1010,5;1010,8;1010,5;3105,3;28;23,8;28,5;27;24,2;22,5;80;75;78;84;7,8;4,1;
2025/01/01;1600 UTC;0;1009,5;1010,5;1009,5;3891;29;23,7;29,1;27,4;24,1;22,9;79;73;73;88;9,6;4;
2025/01/01;1700 UTC;0;1009,1;1009,6;1008,9;3262,9;27,8;23,3;29,1;27,4;23,8;22,3;78;71;77;88;9,4;4,4;
2025/01/01;1800 UTC;0;1008,7;1009,1;1008,1;1507;25,8;22,6;28,1;25,8;23,6;22,4;83;75;83;96;10,3;4,5;
2025/01/01;1900 UTC;0;1009,3;1009,3;1008,6;180,8;24,8;22,8;25,8;24,8;22,8;22,5;89;82;89;93;10;4,2;
2025/01/01;2000 UTC;16,2;1009,8;1010;1009,2;68,9;23,7;22,5;24,8;23,7;23,1;22,5;93;89;93;108;8,3;3;
2025/01/01;2100 UTC;4,8;1009,2;1010;1009,1;40,2;22;20,8;23,8;21,8;22,7;20,4;94;91;93;17;7,9;1,3;
2025/01/01;2200 UTC;0;1010,3;1010,3;1009,2;8,9;22;20,9;22,6;21,9;21,5;20,7;94;93;93;260;3,4;1,2;
2025/01/01;2300 UTC;0;1010,4;1010,4;1010;;21,7;20,8;22,1;21,6;21;20,6;94;93;94;179;2,5;,6;
2025/01/02;0000 UTC;0;1010,7;1010,8;1010,1;;22,2;21,3;22,2;21,6;21,3;20,7;95;94;95;90;2,4;1;
2025/01/02;0100 UTC;0;1011,3;1011,3;1010,7;;22,4;21,5;22,4;22;21,5;21,1;95;95;95;275;2,3;,5;
2025/01/02;0200 UTC;0;1011;1011,6;1011;;22,7;21,8;22,7;22,4;21,9;21,5;95;95;95;314;2,1;1,3;
2025/01/02;0300 UTC;0;1010,3;1011;1010,3;;22;21,1;22,7;22;21,8;21,1;95;95;95;4;2,8;1,6;
2025/01/02;0400 UTC;0;1009,5;1010,3;1009,5;;21,2;20,4;22;21,2;21,1;20,3;95;95;95;22;2,8;,9;
2025/01/02;0500 UTC;0;1008,5;1009,5;1008,5;;20,9;20,2;21,3;20,9;20,4;20,1;95;95;95;275;1,5;,8;
2025/01/02;0600 UTC;0;1008,1;1008,5;1008,1;;20,5;19,7;21;20,5;20,3;19,7;95;95;95;314;2,2;,6;
2025/01/02;0700 UTC;0;1008,2;1008,2;1007,9;;20,3;19,6;20,6;20,1;19,8;19,3;96;95;96;140;1,2;,4;
2025/01/02;0800 UTC;,2;1008,8;1008,8;1008,1;;20,5;19,8;20,5;20,1;19,8;19,4;96;96;96;352;1,6;1,1;
2025/01/02;0900 UTC;0;1009,3;1009,3;1008,8;120,7;20,4;19,7;20,7;20,3;20;19,6;96;96;96;333;2,1;1,1;
2025/01/02;1000 UTC;0;1009,6;1009,6;1009,2;500,5;21,3;20,6;21,5;20,4;20,8;19,8;96;96;96;357;2;,8;
