REGIAO:;SE
UF:;RJ
ESTACAO:;PICO DO COUTO
CODIGO (WMO):;A610
LATITUDE:;-22,46472222
LONGITUDE:;-43,29138888
ALTITUDE:;1777
DATA DE FUNDACAO:;22/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;826,9;827;826,3;;15,7;;15,8;15,3;;;;;;346;9,2;3,6;
2025/01/01;0100 UTC;0;827,3;827,4;826,8;;15,3;;15,7;15,2;;;;;;331;8;5,5;
2025/01/01;0200 UTC;0;826,7;827,3;826,7;;15,2;;15,3;15,2;;;;;;341;9,9;5,9;
2025/01/01;0300 UTC;0;826,3;826,8;826,2;;14,9;;15,2;14,7;;;;;;331;9,9;4,9;
2025/01/01;0400 UTC;0;826,2;826,4;826,1;;15;;15,2;14,9;;;;;;343;8,3;2,7;
2025/01/01;0500 UTC;0;825,7;826,2;825,6;;14,9;;15;14,9;;;;;;332;7,3;3,8;
2025/01/01;0600 UTC;0;825,1;825,7;825;;14,8;;14,9;14,8;;;;;;329;9,9;5,6;
2025/01/01;0700 UTC;0;824,7;825,2;824,7;;14,7;;14,9;14,6;;;;;;334;11,1;7;
2025/01/01;0800 UTC;0;825;825,1;824,6;;14,1;;14,7;14;;;;;;332;12,3;3,7;
2025/01/01;0900 UTC;0;825,6;825,6;824,8;68,1;14,2;;14,3;14;;;;;;325;8,7;3,1;
2025/01/01;1000 UTC;0;826,4;826,4;825,6;452,7;15,4;;15,4;14,2;;;;;;329;5,7;1,6;
2025/01/01;1100 UTC;0;826,7;826,7;826,3;1887,8;18,2;;18,2;15,4;;;;;;14;5,1;1,4;
2025/01/01;1200 UTC;0;827,3;827,3;826,7;2520,6;19,5;;19,8;17,6;;;;;;35;5,2;1,5;
2025/01/01;1300 UTC;0;827,3;827,4;827,3;3430,6;19,3;;19,6;18,1;;;;;;334;7,5;3,5;
2025/01/01;1400 UTC;0;827,4;827,5;827,3;3501,9;19,1;;20,5;18,8;;;;;;344;8,1;2,8;
2025/01/01;1500 UTC;0;827,2;827,4;827,1;3954,3;18,9;;21;18,7;;;;;;338;7,1;3;
2025/01/01;1600 UTC;0;826,8;827,2;826,8;3070,6;20;;21,3;18,9;;;;;;308;6,7;2,3;
2025/01/01;1700 UTC;0;826,1;826,8;826,1;2432;19,5;;21,5;19,2;;;;;;313;7;2,7;
2025/01/01;1800 UTC;3,6;825,7;826,2;825,4;1019,3;13;;20,4;13;;;;;;149;20,9;9,3;
2025/01/01;1900 UTC;,4;825,6;826;825,6;653,2;14,4;;14,7;12,5;;;;;;118;14,7;5,8;
2025/01/01;2000 UTC;0;825,6;825,8;825,4;568,4;14,7;;15,6;14,4;;;;;;132;8,3;5,7;
2025/01/01;2100 UTC;0;825,6;825,8;825,4;69;14,7;;14,9;14,3;;;;;;112;6,9;4,1;
2025/01/01;2200 UTC;,4;825,5;825,6;825,1;12,4;14,5;;14,8;14,5;;;;;;120;8,8;6,8;
2025/01/01;2300 UTC;0;826,6;826,6;825,5;;14,1;;14,6;14;;;;;;87;8,8;2,6;
2025/01/02;0000 UTC;0;827,1;827,1;826,6;;14,6;;15,3;14;;;;;;348;4,5;3,2;
2025/01/02;0100 UTC;0;827,1;827,2;827;;14,8;;15;14,5;;;;;;1;5,8;2,5;
2025/01/02;0200 UTC;0;827;827,3;827;;15,5;;15,8;14,3;;;;;;32;5;2,2;
2025/01/02;0300 UTC;0;826,8;827,1;826,7;;14,4;;15,5;14,2;;;;;;100;4,7;2,1;
2025/01/02;0400 UTC;0;825,8;826,8;825,8;;15;;15,9;14,2;;;;;;337;3,2;2,7;
2025/01/02;0500 UTC;0;825,4;825,8;825,4;;14;;15,2;13,9;;;;;;324;5,2;3,7;
2025/01/02;0600 UTC;0;824,7;825,4;824,6;;14,9;;15,8;14;;;;;;327;5,1;2,8;
2025/01/02;0700 UTC;0;824,8;824,9;824,7;;14,3;;15,1;14,2;;;;;;318;6,3;4,4;
2025/01/02;0800 UTC;0;825,1;825,1;824,7;;15,1;;15,1;13,6;;;;;;313;7,2;4,5;
2025/01/02;0900 UTC;0;825,4;825,5;825,1;160,4;14,5;;15,3;14,3;;;;;;314;7;4,5;
2025/01/02;1000 UTC;0;825,8;825,8;825,3;951;15,6;;16,5;14,5;;;;;;323;8,4;4,5;
2025/01/02;1100 UTC;0;825,9;826;825,7;1867,4;16,9;;17;15,5;;;;;;320;9,3;3,3;
2025/01/02;1200 UTC;0;826,4;826,4;825,9;2586,2;17,3;;18,2;16,3;;;;;;346;8;3,3;
2025/01/02;1300 UTC;0;826,4;826,4;826,3;3450,6;18,9;;19,2;17,3;;;;;;329;8,3;4,4;
2025/01/02;1400 UTC;0;826,1;826,4;826,1;3889,9;20,1;;21,3;18,8;;;;;;345;8,7;3,3;
2025/01/02;1500 UTC;0;825,9;826,1;825,8;4127,1;20,8;;21,2;19,7;;;;;;320;7,7;3,1;
2025/01/02;1600 UTC;0;825,7;825,9;825,6;3986,4;20,9;;21,7;19,8;;;;;;329;8,5;2,5;
2025/01/02;1700 UTC;0;825,2;825,7;825,2;3410,3;21,2;;22,5;20;;;;;;297;7,9;3,3;
2025/01/02;1800 UTC;0;824,5;825,2;824,5;2170;20,8;;21,6;20,1;;;;;;299;7,9;1,8;
2025/01/02;1900 UTC;0;823,8;824,5;823,7;1997,2;20,2;;22,8;19,8;;;7;;;87;4,8;1,4;
2025/01/02;2000 UTC;0;824;824,1;823,7;158,6;17,9;;20,2;17,9;;;;;;346;4,7;1,8;
2025/01/02;2100 UTC;4,4;824,5;824,6;824;28,2;13,9;;17,9;13,8;;;7;;;129;11,6;2,4;
2025/01/02;2200 UTC;,6;824,6;824,7;824,3;6,4;17,6;;17,6;13,9;;;7;;;8;5,1;2,3;
2025/01/02;2300 UTC;,2;825,1;825,2;824,6;;16,1;;17,6;15,7;;;7;;;137;5,5;2;
2025/01/03;0000 UTC;,6;825,2;825,2;825;;14,7;;16,1;14,7;;;;;;194;5,5;3,3;
2025/01/03;0100 UTC;2;826,1;826,2;825,2;;15,8;;15,8;14,3;;;7;;7;7;9,7;1,7;
2025/01/03;0200 UTC;,2;825,7;826,1;825,7;;15,1;;16,3;15;;;7;;;48;5,1;3,3;
2025/01/03;0300 UTC;,2;825;825,7;825;;16,6;;16,7;15;;;;;;23;6,6;3,8;
2025/01/03;0400 UTC;,2;824,4;825;824,4;;17;;17,6;16,4;;;8;;7;303;6,6;2,3;
2025/01/03;0500 UTC;0;824,1;824,4;824,1;;15,9;;17,2;15,9;;;7;;;184;3,6;1,8;
2025/01/03;0600 UTC;0;823,6;824,1;823,6;;16;;16;15,1;;;7;;7;205;4,1;,7;
2025/01/03;0700 UTC;,2;823,2;823,7;823,1;;13,9;;16,2;13,9;;;7;;;340;9,1;6,8;
2025/01/03;0800 UTC;0;823;823,2;823;;13,6;;14;13,6;;;;;;336;9,1;6;
2025/01/03;0900 UTC;0;823,5;823,6;822,9;84,9;14,4;;14,4;13,6;;;;;;323;10,4;6,9;
2025/01/03;1000 UTC;0;823,5;823,7;823,4;768,7;15;;15,9;14,4;;;8;;;326;11,7;5,2;
2025/01/03;1100 UTC;0;824,1;824,1;823,4;929,9;15,6;;15,6;14,7;;;7;;7;329;12,5;5,1;
2025/01/03;1200 UTC;0;824,3;824,4;824;1421,3;16;;16,5;15,6;;;7;;;334;12,1;4,8;
2025/01/03;1300 UTC;0;824,5;824,6;824,3;2906,9;18,2;;18,5;16;;;;;;332;11;4,5;
2025/01/03;1400 UTC;0;824,6;824,6;824,4;3423,7;19,6;;19,9;17,3;;;;;;313;10,2;4,5;
2025/01/03;1500 UTC;0;824,4;824,6;824,4;4108,2;20,1;;20,7;19,2;;;;;;299;10,2;4,9;
2025/01/03;1600 UTC;0;824,3;824,4;824,2;3550,4;21,2;;21,5;19,6;;;;;;298;10,7;3;
2025/01/03;1700 UTC;0;823,8;824,3;823,8;2429;19,5;;22;19,5;;;;;;286;7,3;2,6;
2025/01/03;1800 UTC;0;822,9;823,8;822,9;559,1;17,9;;19,8;17,9;;;;;;159;5,4;3,8;
2025/01/03;1900 UTC;0;823,3;823,3;822,7;154,3;17,5;;17,9;17,2;;;;;;233;5,9;3,1;
2025/01/03;2000 UTC;0;823,2;823,6;823,2;387,9;17,6;;17,7;16,6;;;;;;293;7,1;2,7;
2025/01/03;2100 UTC;0;823,3;823,3;822,5;245,1;16,9;;18,3;16,9;;;;;;161;6,4;3,5;
2025/01/03;2200 UTC;0;823,2;823,4;823,1;8,8;18;;18,3;16,9;;;;;;286;5,6;3,5;
2025/01/03;2300 UTC;0;823,7;823,8;823,1;;17,3;;18;17,2;;;;;;315;5,3;2,1;
2025/01/04;0000 UTC;0;823,9;824;823,7;;16,3;;17,3;16,2;;;;;;326;8,4;5,6;
2025/01/04;0100 UTC;0;824,3;824,5;823,9;;15,7;;16,4;15,7;;;;;;328;11,6;6,3;
2025/01/04;0200 UTC;0;824;824,5;823,9;;15,6;;15,8;15,5;;;;;;328;11,9;6,8;
2025/01/04;0300 UTC;0;823,8;824,2;823,8;;15,6;;15,8;15,4;;;;;;324;12;6,6;
2025/01/04;0400 UTC;0;822,9;823,9;822,9;;14,9;;15,6;14,9;;;;;;325;10,9;6,4;
2025/01/04;0500 UTC;0;822,5;822,9;822,5;;15,1;;15,1;14,9;;;;;;322;10,8;5,8;
