REGIAO:;SE
UF:;RJ
ESTACAO:;RIO CLARO
CODIGO (WMO):;A626
LATITUDE:;-22,653579
LONGITUDE:;-44,040916
ALTITUDE:;516
DATA DE FUNDACAO:;03/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;956,5;956,8;955,9;;21;18,6;21,5;21;19,2;18,6;88;86;86;;;;
2025/01/01;0100 UTC;0;957;957,1;956,5;;20,2;18,3;21,1;20,2;18,7;18,3;89;85;89;;;;
2025/01/01;0200 UTC;0;956,9;957;956,8;;20,2;18,7;20,3;19,8;18,7;18,3;92;89;91;;;;
2025/01/01;0300 UTC;0;956,2;956,9;956,2;;20,5;18,9;20,5;19,9;18,9;18,5;92;91;91;;;;
2025/01/01;0400 UTC;0;955,9;956,4;955,9;;20;18,4;20,6;20;18,9;18,2;91;87;90;;;;
2025/01/01;0500 UTC;0;955,2;955,9;955,1;;19,9;18,6;20;19,8;18,7;18,4;92;90;92;;;;
2025/01/01;0600 UTC;0;954,9;955,3;954,8;;19,7;18,6;20;19,5;18,7;18,3;93;92;93;;;;
2025/01/01;0700 UTC;0;954,7;955,1;954,7;;19,5;18,5;19,8;19,5;18,7;18,5;94;93;94;;;;
2025/01/01;0800 UTC;0;954,8;954,9;954,7;;19,2;18,3;19,6;19,2;18,6;18,3;95;94;95;;;;
2025/01/01;0900 UTC;0;955,5;955,5;954,8;32,6;18,9;18,1;19,2;18,9;18,3;18,1;95;95;95;;;;
2025/01/01;1000 UTC;0;956,1;956,1;955,4;633;22,1;20,3;22,1;18,9;20,5;18,1;96;89;89;;;;
2025/01/01;1100 UTC;0;956,4;956,4;956,1;1312,5;24;19,8;24,1;22,1;20,3;19,1;89;78;78;;;;
2025/01/01;1200 UTC;0;956,6;956,7;956,4;2031,6;25,1;18,5;25,4;23,4;20,9;18,5;81;66;67;;;;
2025/01/01;1300 UTC;0;956,5;956,6;956,4;3234,5;26,7;18,4;27,5;25,1;20,3;17,8;70;59;60;;;;
2025/01/01;1400 UTC;0;956,1;956,6;956,1;3723,9;27,8;17,4;28,7;26,2;20,1;17;63;52;53;;;;
2025/01/01;1500 UTC;0;955,7;956,1;955,7;3925,7;29;18,8;30,2;27,4;20;16,5;58;48;54;;;;
2025/01/01;1600 UTC;0;955,2;955,8;955,2;2378,3;28,9;19,4;29,7;28;20;17,4;60;50;57;;;;
2025/01/01;1700 UTC;0;954,6;955,2;954,6;3400;29,4;19,2;30,7;28,1;21,1;17,8;61;49;54;;;;
2025/01/01;1800 UTC;0;954,3;954,5;954;1402,7;27,8;21,2;29,4;27,5;21,2;18,6;67;53;67;;;;
2025/01/01;1900 UTC;0;954,3;954,5;954,2;809;26,1;20,3;27,9;26,1;21,2;20;71;66;70;;;;
2025/01/01;2000 UTC;0;954,7;954,7;954;348,9;23,8;20,3;26,2;23,8;20,9;20,2;81;70;81;;;;
2025/01/01;2100 UTC;0;954,7;955,1;954,6;94,5;22,7;20,3;23,8;22,5;20,6;20,1;87;81;86;;;;
2025/01/01;2200 UTC;0;955,1;955,2;954,6;45,6;21,7;19,9;22,7;21,6;20,3;19,7;90;86;90;;;;
2025/01/01;2300 UTC;0;955,9;955,9;955,1;;21,6;20;21,7;20,9;20,2;19,6;93;90;90;;;;
2025/01/02;0000 UTC;0;956,7;956,7;955,9;;21,4;19,8;21,9;21,3;20,2;19,8;91;90;91;;;;
2025/01/02;0100 UTC;0;957,3;957,4;956,7;;20,8;19,6;21,6;20,8;20,1;19,4;93;91;93;;;;
2025/01/02;0200 UTC;0;957,3;957,4;957;;21,2;20,2;21,2;20,6;20,2;19,5;94;93;94;;;;
2025/01/02;0300 UTC;0;956,6;957,3;956,5;;20,4;19,4;21,2;20,4;20,1;19,4;94;94;94;;;;
2025/01/02;0400 UTC;,2;955,5;956,6;955,5;;19,8;18,9;20,4;19,8;19,3;18,9;95;94;95;;;;
2025/01/02;0500 UTC;0;954,7;955,6;954,7;;19,6;18,8;19,8;19,4;19;18,5;95;95;95;;;;
2025/01/02;0600 UTC;0;954,1;954,7;954,1;;20;19,2;20,1;19,1;19,3;18,3;96;95;96;;;;
2025/01/02;0700 UTC;0;954,1;954,2;954;;20,2;19,6;20,3;19,9;19,6;19,2;96;96;96;;;;
2025/01/02;0800 UTC;0;954,1;954,2;954;;20,1;19,5;20,4;20,1;19,7;19,4;96;96;96;;;;
2025/01/02;0900 UTC;0;954,6;954,6;954,1;29,5;20;19,4;20,2;19,9;19,5;19,3;96;96;96;;;;
2025/01/02;1000 UTC;0;955,3;955,3;954,6;178,3;19,9;19,3;20,1;19,7;19,5;19,1;96;96;96;;;;
2025/01/02;1100 UTC;0;955,8;955,8;955,2;825;20,5;19,8;21,2;19,9;20,5;19,3;96;95;96;;;;
2025/01/02;1200 UTC;0;955,6;955,8;955,6;2174,8;24,2;19,4;25,3;20,5;21,4;18,6;96;70;75;;;;
2025/01/02;1300 UTC;0;955,1;955,6;955,1;3180,7;27,2;20,3;27,2;23,9;20,6;17,6;75;63;66;;;;
2025/01/02;1400 UTC;0;954,5;955,1;954,5;3593,1;28,7;19,4;28,9;26,3;21,2;18,2;69;57;57;;;;
2025/01/02;1500 UTC;0;953,6;954,5;953,6;3897,2;29,8;21,4;30,4;28;21,9;18,9;63;54;61;;;;
2025/01/02;1600 UTC;0;953;953,6;953;3931,4;31,3;20,5;31,8;29,6;22;19,3;61;49;53;;;;
2025/01/02;1700 UTC;0;952,1;953;952,1;3749,1;31,9;18,9;32,7;30,6;21,9;18,3;57;45;46;;;;
2025/01/02;1800 UTC;0;951;952,1;951;2907,6;32,1;19,6;32,7;31,1;21,5;18,8;55;44;48;;;;
2025/01/02;1900 UTC;0;950,7;951;950,5;1613,9;29,7;21,9;32,7;29;21,9;18,2;64;46;63;;;;
2025/01/02;2000 UTC;44;952,2;953,5;950,6;208,2;19,9;19,2;29,7;19,1;21,5;17,3;96;57;96;;;;
2025/01/02;2100 UTC;5;952,3;952,3;951,3;212,1;20,4;19,7;20,5;19,7;19,9;19;96;96;96;;;;
2025/01/02;2200 UTC;0;953,3;953,3;952,2;22;20,3;19,7;20,4;20,2;19,8;19,5;96;96;96;;;;
2025/01/02;2300 UTC;,6;954,5;954,5;953,3;;20,5;19,9;20,7;20,3;20;19,6;96;96;96;;;;
2025/01/03;0000 UTC;4;954,9;955;954,5;;20,5;19,9;20,8;20,4;20,1;19,8;96;96;96;;;;
2025/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0300 UTC;0;954,3;954,4;954,2;;20,6;19,6;20,7;20,6;19,9;19,6;95;94;94;;;;
2025/01/03;0400 UTC;0;954,1;954,3;954,1;;20,5;19,6;20,6;20,4;19,7;19,6;95;94;95;;;;
2025/01/03;0500 UTC;4,2;953,8;954,3;953,8;,2;20,5;19,7;20,6;20,4;19,8;19,6;95;95;95;;;;
2025/01/03;0600 UTC;,4;952,6;953,8;952,6;;20,1;19,3;20,5;20,1;19,7;19,3;95;95;95;;;;
2025/01/03;0700 UTC;0;952,4;952,7;952,4;;20,1;19,3;20,2;19,8;19,4;19;96;95;96;;;;
2025/01/03;0800 UTC;0;952,4;952,6;952,3;;20;19,2;20,3;20;19,6;19,2;96;95;95;;;;
2025/01/03;0900 UTC;0;952,5;952,7;952,4;54,8;20;19,2;20,2;19,8;19,4;19;96;95;95;;;;
2025/01/03;1000 UTC;0;952,9;953;952,4;288,2;20,8;20;20,8;20;20;19,2;96;95;95;;;;
2025/01/03;1100 UTC;0;953,1;953,3;952,9;762,6;22,2;20,1;22,2;20,8;20,6;19,9;95;88;88;;;;
2025/01/03;1200 UTC;0;953,2;953,4;953;1183,9;23,1;20,2;23,3;22;20,8;19,7;88;84;84;;;;
2025/01/03;1300 UTC;0;953,2;953,4;953,2;2203,7;25,5;21,5;25,8;23;22,2;20,1;86;77;78;;;;
2025/01/03;1400 UTC;0;952,4;953,2;952,4;3667,9;28,4;22,1;28,4;24,9;22,9;20;80;67;69;;;;
2025/01/03;1500 UTC;0;951,8;952,4;951,8;3942,8;29,6;20,9;29,7;27,9;23,1;20,1;71;57;60;;;;
2025/01/03;1600 UTC;,2;951,2;951,8;951,2;3242,5;29,9;19,5;31,2;29,5;22,2;19,5;63;51;54;;;;
2025/01/03;1700 UTC;0;950,7;951,2;950,7;835,8;26,2;21,4;30,2;26,2;21,9;19,8;75;54;75;;;;
2025/01/03;1800 UTC;1;950,9;951,6;950,6;178,1;21,7;19,9;26,2;21,6;21,3;19,4;90;75;90;;;;
2025/01/03;1900 UTC;1,2;950,4;951,4;950,2;132;21,1;19,4;21,7;21,1;20,2;19,3;92;89;90;;;;
2025/01/03;2000 UTC;2,8;950,5;951,4;950,5;165,1;21,2;20,1;21,4;20,9;20,1;19,4;93;90;93;;;;
