REGIAO:;SE
UF:;RJ
ESTACAO:;ANGRA DOS REIS
CODIGO (WMO):;A628
LATITUDE:;-22,97555554
LONGITUDE:;-44,30333333
ALTITUDE:;6
DATA DE FUNDACAO:;25/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1013,8;1013,8;1013,1;;23,8;21,8;24,5;23,7;22,3;21,6;89;85;89;84;2,7;0;
2025/01/01;0100 UTC;0;1014,1;1014,1;1013,8;;22,9;21,6;23,8;22,9;21,8;21,5;92;89;92;119;2,3;,1;
2025/01/01;0200 UTC;0;1014,1;1014,3;1014;;23;21,5;23,1;22,8;21,8;21,4;93;91;91;70;1,7;0;
2025/01/01;0300 UTC;0;1013,4;1014,1;1013,3;;22,5;21,3;23;22,4;21,5;21,2;93;91;93;107;1,5;,1;
2025/01/01;0400 UTC;0;1012,7;1013,6;1012,7;;22,3;21,2;22,6;22,2;21,3;21,1;93;92;93;139;2;,2;
2025/01/01;0500 UTC;0;1011,8;1012,7;1011,7;;22,3;21,1;22,6;22,1;21,3;21;94;92;93;128;2;,3;
2025/01/01;0600 UTC;0;1011,7;1011,9;1011,6;;22;21;22,3;21,9;21,2;20,9;94;93;94;122;2;0;
2025/01/01;0700 UTC;0;1011,7;1011,8;1011,7;;22,1;20,9;22,1;21,9;21;20,9;94;93;93;127;1,6;0;
2025/01/01;0800 UTC;0;1012,3;1012,3;1011,7;;22,2;20,9;22,2;22,1;21;20,9;93;92;92;103;1,3;0;
2025/01/01;0900 UTC;0;1012,6;1012,6;1012,2;36,9;22,6;21,3;22,6;22,2;21,3;20,9;93;92;92;113;1,4;0;
2025/01/01;1000 UTC;0;1013,2;1013,2;1012,6;396;24,2;22;24,2;22,6;22;21,2;92;87;88;35;1,4;0;
2025/01/01;1100 UTC;0;1013,2;1013,3;1013,1;840,9;25,4;21,4;25,5;24,1;22,1;21,4;88;79;79;19;1,7;0;
2025/01/01;1200 UTC;0;1013,5;1013,5;1013,2;2058;27,3;21;27,3;25,4;22,2;21;80;69;69;11;2,3;,3;
2025/01/01;1300 UTC;0;1013,3;1013,5;1013,2;3145,9;28,8;22,8;29,2;27,2;23,4;20,9;75;66;70;242;4,4;1,3;
2025/01/01;1400 UTC;0;1013,2;1013,4;1013,1;3400,3;28,7;21,6;29,4;28,1;23;21,1;70;64;66;170;4,2;1,8;
2025/01/01;1500 UTC;0;1013,2;1013,3;1013;3052,6;29,2;21,3;29,6;28,1;23,3;20,9;71;63;63;168;4,7;1,9;
2025/01/01;1600 UTC;0;1013,1;1013,3;1013;2505,8;28;21,9;29,8;27,9;23;21,3;71;62;69;193;4,9;1,1;
2025/01/01;1700 UTC;0;1012,3;1013,1;1012,3;2381,6;28,6;22,1;30,2;28;23,6;21,4;70;61;68;272;4,8;1,8;
2025/01/01;1800 UTC;0;1011,8;1012,3;1011,7;1778,4;28,8;22,8;29,3;27,6;23,2;21,8;74;67;70;269;5,2;1,5;
2025/01/01;1900 UTC;0;1011,6;1011,9;1011,5;2138,3;27,9;22,4;29,8;27,8;23,6;21,2;72;64;72;264;5;,3;
2025/01/01;2000 UTC;0;1011,9;1011,9;1011,4;326,8;27,2;21,5;28;27;22,7;21,5;75;71;71;132;4,1;1,2;
2025/01/01;2100 UTC;0;1011,5;1011,9;1011,4;152;26,6;21,5;27,2;26,5;21,7;21,2;74;71;74;85;3,7;,1;
