REGIAO:;SE
UF:;RJ
ESTACAO:;SAQUAREMA - SAMPAIO CORREIA
CODIGO (WMO):;A667
LATITUDE:;-22,8711111
LONGITUDE:;-42,60888888
ALTITUDE:;26
DATA DE FUNDACAO:;02/09/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1007,5;1007,6;1007,5;788,4;26,4;22,3;28,2;26,4;22,8;22;79;72;78;127;5;1,6;
2025/01/01;0100 UTC;2,6;1007,3;1007,7;1007,3;419,5;25,7;23,1;26,4;25,3;23,6;22,3;89;78;86;129;5,3;1,5;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;0;1008,2;1008,2;1007,8;733,7;24,6;23,1;24,6;22,8;23,3;22,1;96;91;91;142;2,4;,8;
2025/01/01;1100 UTC;0;1008,3;1008,3;1008,1;669,2;25;22,9;25,1;24,6;23,3;22,5;91;87;88;222;2,6;1,4;
2025/01/01;1200 UTC;0;1008,4;1008,4;1008,2;1200,2;26,2;22,5;26,8;25;23,4;22,2;88;78;80;210;3,4;1,2;
2025/01/01;1300 UTC;0;1008,4;1008,4;1008,3;688,1;25,3;22,4;26,3;25,3;23,2;22,2;86;79;84;172;3,4;1,1;
2025/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1500 UTC;16,6;1008,4;1009,1;1008,4;695,6;22,4;20,8;22,6;20,8;21;19,5;93;89;91;187;4,7;1,1;
2025/01/01;1600 UTC;2,2;1007,9;1008,5;1007,9;522,5;23,4;22;23,6;22,1;22,3;20,7;93;91;91;217;3,7;,8;
2025/01/01;1700 UTC;,2;1007,8;1008;1007,7;1430,6;25,3;22;25,4;23,4;23,5;22;92;82;82;199;6,6;2,3;
2025/01/01;1800 UTC;0;1007,5;1007,8;1007,2;835;24,9;22,3;25,4;24,8;22,6;21,8;86;82;86;193;6,6;1,2;
2025/01/01;1900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;2000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0000 UTC;0;1008,9;1008,9;1008,5;362,4;22,5;21,9;22,5;19,8;21,9;19,2;97;96;96;220;;1,2;
2025/01/02;0100 UTC;0;1009,3;1009,3;1008,9;784,8;23,6;20,7;23,8;22,5;22,5;20,7;96;84;84;228;5,1;2,3;
2025/01/02;0200 UTC;0;1009,7;1009,7;1009,3;1998,4;24,8;20,1;26,1;23,4;21,4;19,9;85;72;75;217;5,9;2,6;
2025/01/02;0300 UTC;0;1009,8;1009,8;1009,6;2806,8;26;20,1;26,7;24,8;21,2;19,6;76;68;70;215;7;3,6;
2025/01/02;0400 UTC;0;1009,8;1009,8;1009,7;2666,2;26;19,3;27,1;25,5;20,5;19;72;64;67;235;7,3;3;
2025/01/02;0500 UTC;0;1009,8;1009,9;1009,8;1763;25,5;19,4;26,6;25,3;20,3;19,1;71;66;69;222;6,7;2,5;
2025/01/02;0600 UTC;,2;1009,3;1009,8;1009,3;2227,4;26,5;19,4;27,3;25,5;20,5;18,4;71;61;65;223;6;2,2;
2025/01/02;0700 UTC;0;1009;1009,3;1009;2559,8;26,6;18,4;27,4;26,5;19,4;18,2;65;59;61;218;7,3;3,1;
2025/01/02;0800 UTC;0;1008,5;1009;1008,5;2013,5;27,1;18,8;27,5;26,2;19,6;18,1;65;58;61;211;5,9;2,5;
2025/01/02;0900 UTC;0;1008,3;1008,5;1008,3;1664,5;26,5;18,5;27,5;26;19,3;18,1;65;59;62;217;6;2,3;
2025/01/02;1000 UTC;0;1008,2;1008,3;1008,1;1266,5;26,3;18,2;26,9;25,9;19,4;17,4;64;58;61;191;5,8;2,2;
2025/01/02;1100 UTC;0;1008,7;1008,7;1008,2;1301,6;25,8;18,6;27,6;25,8;18,6;17,7;64;56;64;211;6,3;2,6;
2025/01/02;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1800 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1900 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;2000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;2100 UTC;0;1008,7;1008,7;1008,4;265,7;20,6;19,9;20,7;18,7;20;18;96;96;96;264;1,5;,7;
2025/01/02;2200 UTC;0;1009,1;1009,1;1008,7;890,1;24,4;20,4;24,5;20,6;21,6;19,8;96;77;78;104;1,6;,8;
2025/01/02;2300 UTC;0;1009,2;1009,3;1009;1712;26,8;19,5;26,9;24,3;20,5;18,9;78;64;65;82;2,2;1,3;
2025/01/03;0000 UTC;0;1009,6;1009,6;1009,2;2356,2;26,6;19,8;27,4;26,3;20,5;18,6;70;62;66;156;4,9;1,2;
2025/01/03;0100 UTC;0;1009,6;1009,6;1009,5;2038,3;26,6;19,4;28;26,5;20,2;17,9;67;55;65;156;4,9;1,4;
2025/01/03;0200 UTC;0;1009,5;1009,6;1009,4;1745,1;27;19,8;27,5;26,4;20,4;19,1;67;62;65;152;4,4;1,5;
2025/01/03;0300 UTC;0;1009,4;1009,5;1009,4;1686;26,6;19,3;28;26,5;20,7;18,5;67;61;64;185;4,6;1,5;
2025/01/03;0400 UTC;0;1008,9;1009,4;1008,9;2463;28,4;19,8;29,2;26,6;21,2;18,4;66;57;60;165;4,4;1,5;
